User-ID,Age
2,18
4,17
6,61
10,26
11,14
13,26
18,25
19,14
20,19
21,46
24,19
25,55
27,32
28,24
29,19
30,24
31,20
33,34
35,17
36,24
37,23
38,34
40,32
41,14
42,17
44,51
46,31
47,21
50,17
51,34
54,44
56,24
59,23
61,30
63,57
64,32
66,30
67,43
70,44
71,24
72,34
74,30
75,37
78,18
79,20
85,41
89,54
90,42
92,20
93,50
94,39
98,19
99,42
100,44
101,26
103,53
104,47
105,36
109,20
111,25
112,32
114,57
117,57
118,28
119,35
120,13
123,24
124,58
125,49
126,24
127,28
129,47
132,38
133,45
138,28
139,35
140,24
143,26
144,62
148,63
150,25
152,26
153,24
156,20
157,36
158,38
160,20
161,27
164,33
165,62
166,20
168,44
171,29
172,66
174,31
176,34
177,46
178,28
182,36
183,27
185,17
187,29
188,17
189,31
190,33
191,40
193,23
195,23
196,33
198,21
199,38
200,27
202,28
204,15
205,23
206,60
209,21
210,54
211,21
212,21
214,27
215,20
216,42
218,41
220,0
221,79
228,41
229,22
232,16
234,25
235,22
237,27
238,23
240,20
242,37
245,31
246,16
247,23
248,15
249,29
250,25
251,54
252,65
253,28
254,24
255,32
259,45
260,51
261,45
262,28
264,23
265,24
267,29
271,22
272,20
274,26
277,15
278,21
281,31
284,35
286,17
288,19
289,15
292,22
293,25
295,28
296,21
297,27
299,42
301,32
302,53
304,24
307,27
308,53
309,30
310,26
311,34
314,28
316,23
317,41
319,32
320,37
321,24
323,23
328,33
329,21
331,60
332,59
333,23
334,27
335,27
336,27
337,17
339,20
340,15
341,50
342,28
344,25
345,27
346,29
347,34
352,28
353,41
357,29
360,33
361,25
362,63
367,45
368,35
372,22
374,45
375,28
376,35
378,57
379,47
384,23
386,20
387,17
388,35
389,22
390,48
392,44
393,24
394,25
395,24
397,50
399,41
401,28
402,19
404,37
406,37
408,17
409,50
410,40
411,27
413,17
414,34
416,31
419,14
420,14
421,47
422,23
424,29
425,32
429,25
431,40
433,48
436,53
438,34
440,16
442,24
443,47
444,40
448,22
450,31
451,33
454,50
455,54
456,31
457,62
458,17
459,37
461,15
462,18
463,20
464,24
469,18
470,0
471,31
473,25
475,34
477,45
478,13
480,62
482,46
483,72
484,17
485,51
486,31
488,25
491,26
492,60
493,29
496,51
497,51
498,29
499,62
500,17
502,47
503,40
504,29
505,51
508,29
512,58
514,30
515,24
517,22
519,23
523,19
524,37
525,29
526,35
527,22
528,16
529,28
530,47
531,56
532,53
533,31
534,59
536,20
538,26
540,67
541,45
543,27
546,51
551,19
553,16
555,36
556,31
557,49
561,35
562,0
564,15
565,48
569,28
571,23
572,23
573,31
574,33
575,23
576,35
579,29
580,22
581,45
582,56
583,19
584,23
586,26
588,60
591,42
593,28
595,17
596,49
597,43
598,34
599,36
600,20
602,23
604,42
607,31
608,30
609,34
610,19
611,24
612,20
613,1
614,28
615,29
616,34
617,54
620,45
621,48
622,23
625,41
626,41
629,44
630,33
632,15
634,50
635,24
637,20
638,20
642,37
643,23
646,21
647,35
651,26
654,30
655,58
658,61
661,22
662,21
663,49
664,26
668,27
669,24
671,1
673,23
676,31
677,27
679,65
680,28
681,20
682,44
683,28
684,44
685,21
687,35
688,14
689,22
690,80
691,25
692,44
693,58
696,13
700,16
701,31
702,53
703,52
709,14
710,42
711,27
712,29
713,49
716,34
718,30
719,52
720,16
722,66
725,24
726,31
727,40
730,69
733,53
735,29
736,34
739,55
741,16
744,48
745,25
746,36
748,14
750,36
751,41
754,33
755,24
757,29
761,30
762,23
764,28
766,52
767,43
771,38
772,27
773,52
774,16
775,28
776,23
777,13
781,20
782,57
784,39
786,48
789,15
792,44
794,47
801,51
802,33
803,41
804,38
805,34
807,32
809,36
811,34
812,17
813,42
815, canada
816,32
817,41
820,38
821,33
822,25
823,36
824,15
825,38
826,65
828,35
829,23
830,57
831,21
834,17
835,35
837,26
838,71
839,40
840,21
841, usa
842,42
843,25
845,25
846,55
847,23
850,22
852,27
853,24
854,22
855,54
856,29
857,25
858,46
860,26
862,56
863,73
866,23
867,27
868,27
869,30
870,19
871,19
872,22
875,32
876,33
881,24
882,23
883,43
887,30
889,46
893,19
894,22
895,40
896,27
897,14
899,23
900,25
901,21
902,18
903,19
907,31
909,19
910,25
911,40
912,33
913,44
914,51
915,50
916,38
918,52
919,65
920,28
922,20
923,21
924,29
926,29
927,16
928,60
929,36
930,30
931,43
932,1
933,29
935,21
936,24
937,31
938,55
939,21
942,29
943,24
944,26
945,23
946,23
953,22
957, chile
958,78
965,24
966,22
967,31
968,25
969,13
970,15
971,22
974,36
975,34
976,28
978,33
979,36
980,23
982,41
985,23
989,33
991,62
992,33
995,34
999,21
1000,34
1001,19
1002,25
1005,67
1006,59
1007,16
1009,56
1010,26
1011,52
1013,23
1015,18
1017,35
1025,33
1027,18
1028,57
1029,57
1030,29
1031,52
1034,18
1035,26
1036,25
1037,18
1038,26
1039,38
1042,40
1044,34
1045,47
1048,22
1049,34
1051,17
1052,31
1053,20
1054,37
1055,30
1056,35
1057,19
1058,23
1059,47
1060,38
1062,16
1063,19
1064,45
1066,59
1067,37
1068,18
1071,22
1072,47
1073,31
1075,49
1076,20
1078,28
1080,35
1081,31
1082,36
1087,46
1088,17
1089,22
1090,49
1091,25
1094,18
1096,18
1099,32
1100,24
1102,28
1104,38
1105,57
1106,41
1109,18
1110,31
1113,22
1114,59
1116,29
1117,61
1122,21
1123,23
1125,18
1126,22
1128,61
1129,53
1130,26
1131,22
1133,46
1136,21
1137,25
1139,33
1140,19
1141,26
1142,25
1143,45
1144,21
1146,55
1148,79
1149,1
1150,25
1151,22
1153,26
1155,22
1157,34
1159,25
1160,18
1162,31
1163,32
1164,35
1166,22
1167,25
1168,20
1169,27
1170,17
1171,32
1172,26
1173,22
1174,32
1175,27
1176,29
1178,9
1179,28
1180,23
1181,38
1182,23
1183,49
1184,38
1186,24
1187,23
1188,29
1189,39
1190,24
1191,34
1192,27
1193,28
1196,28
1197,40
1198,35
1199,28
1201,22
1202,43
1203,21
1205,32
1209,33
1211,22
1212,24
1213,19
1214,30
1215,17
1216,24
1218,27
1219,17
1221,34
1225,22
1226,14
1227,16
1230,34
1231,13
1232,50
1233,27
1234,25
1236,25
1237,21
1238,42
1239,37
1240,36
1242,25
1243,34
1244,55
1246,36
1250,44
1253,22
1254,26
1255,23
1258,18
1259,29
1260,17
1261,46
1262,39
1263,23
1266,19
1269,42
1270,33
1271,64
1273,27
1280,34
1281,32
1282,32
1283,26
1284,44
1285,28
1287,32
1288,35
1289,103
1290,26
1291,34
1297,30
1298,20
1300,37
1301,18
1303,56
1304,47
1305,17
1306,41
1309,28
1312,23
1313,30
1314,48
1316,18
1317,63
1318,33
1320,36
1321,24
1322,21
1323,104
1326,37
1328,24
1329,26
1331,32
1333,36
1334,32
1336,42
1337,28
1338,37
1339,14
1340,21
1343,33
1346,25
1348,43
1352,35
1354,39
1355,71
1356,16
1357,56
1359,14
1360,36
1362,37
1364,16
1365,16
1367,23
1368,22
1370,26
1371,36
1372,34
1374,27
1375,59
1377,20
1378,37
1380,59
1382,33
1383,32
1384,12
1387,28
1388,29
1389,22
1390,36
1392,42
1393,35
1394,28
1396,35
1397,36
1399,41
1400,39
1401,53
1403,26
1404,28
1405,53
1407,28
1408,35
1409,74
1410,22
1411,74
1412,47
1413,69
1414,27
1415,47
1416,25
1418,45
1419,51
1421,55
1422,23
1423,39
1425,41
1427,22
1429,71
1430,15
1433,54
1435,36
1437,21
1438,27
1441,34
1442,36
1443,30
1444,26
1446,23
1447,31
1448,61
1450,24
1451,22
1454,21
1456,45
1457,21
1458,15
1460, egypt
1461,0
1462,15
1464,59
1465,15
1466,28
1468,20
1469,59
1476,33
1478,25
1479,30
1481,22
1482,43
1483,33
1484,28
1485,30
1486,75
1487,23
1489,20
1491,22
1492,31
1494,25
1495,53
1496,31
1497,20
1501,35
1505,25
1506,21
1507,26
1509,48
1511,25
1513,40
1515,27
1516,31
1517,32
1519,61
1521, usa
1522,46
1525,29
1527,27
1528,22
1530,26
1531,42
1532,34
1535,69
1536,30
1537,26
1538,29
1541,25
1544,31
1545,21
1546,40
1548,28
1549,60
1551,29
1552,32
1553,23
1554,29
1557,32
1558,61
1560,22
1565,1
1567,57
1568,37
1570,28
1571,32
1572,26
1576,24
1577,58
1578,23
1579,231
1580,16
1582,48
1583,48
1585,29
1586,14
1587,19
1589,50
1590,15
1591,24
1592,50
1593,59
1596,51
1597,23
1600,43
1604,24
1606,63
1607,29
1608,27
1609,30
1612,24
1613,41
1615,30
1617,24
1618,21
1621,30
1623,41
1625,59
1626,36
1627,28
1628,20
1629,18
1630,27
1633,29
1634,33
1635,27
1636,34
1637,24
1638,18
1640,33
1641,22
1642,25
1643,24
1644,22
1645,22
1646,19
1648,67
1649,41
1651,36
1653,17
1655,48
1656,29
1657,59
1659,41
1661,60
1662,25
1664,14
1666,20
1669,51
1670,47
1671,20
1672,18
1673,23
1674,26
1677,14
1678,21
1680,35
1681,47
1683,46
1685,38
1686,1
1687,47
1688,53
1691,50
1693,45
1694,26
1695,69
1696,34
1698,21
1700,25
1702,45
1703,19
1704,21
1705,32
1706,26
1707,21
1709,57
1710,47
1713,24
1714,24
1715,49
1717,36
1718,28
1721,21
1723,40
1724,25
1725,25
1729,55
1730,33
1731,15
1732,32
1733,30
1734,22
1735,18
1736,26
1737,31
1738,29
1740,28
1741,17
1742,51
1743,17
1747,26
1750,43
1752,22
1754,29
1755,24
1756,21
1757,16
1758,50
1759,29
1760,39
1763,25
1765,37
1768,25
1770,34
1771,38
1772,33
1773,16
1774,26
1775,14
1777,19
1778,25
1779,33
1780,48
1781,32
1784,23
1785,26
1786,21
1788,39
1789,36
1790,25
1793,26
1794,35
